model,interaction_coefficient,interaction_p_value,superadditive,additive_r2,interaction_r2,r2_improvement,n_tracts,origin,param_billions
Llama 4 Scout,0.6252654929331539,5.36283582643258e-23,True,0.6793650544321059,0.6876350893917752,0.00827003495966927,3737,US,17
Llama 3.1 8B,0.4694225728104992,2.2766308550371586e-16,True,0.6250329742985866,0.631481195400077,0.006448221101490348,3888,US,8
Llama 3.1 8B (Cerebras),0.3226994478155861,7.27206244315201e-08,True,0.6152690635838547,0.618131173149594,0.0028621095657392903,3888,US,8
Mistral 7B,0.12874566581032212,0.12228956434297,False,0.07236791363372175,0.07294372055327025,0.0005758069195485049,3851,EU,7
Qwen 3 32B,4.1882729923115036e-16,0.0014075192610745564,True,-inf,-inf,,3849,Chinese,32
Llama 3.3 70B,-0.4702409401343469,5.568207494046701e-07,False,0.6539555386143789,0.6564592828121982,0.002503744197819291,3456,US,70
Mistral Small 3.1,-0.7016311516462398,4.825689202338131e-19,False,0.10513807604767522,0.12327506375321073,0.018136987705535512,3888,EU,24
Qwen 3 235B (Cerebras),-0.7489972275724899,8.988865185232011e-26,False,0.6613326388368055,0.6708245728609188,0.009491934024113302,3881,Chinese,235
