model,overall_pearson_corr,black_bias_residual,white_bias_residual,hispanic_bias_residual,asian_bias_residual,overestimation_gap_black_vs_white,n_tracts
Llama 4 Scout,0.7590399506187607,0.5279842109630428,-0.18166652576746561,-0.1971676538729718,-0.23437876018804735,0.7096507367305085,3741
Qwen 3 235B (Cerebras),0.8597057242825178,0.4044212760056931,-0.243134239992579,0.09980645492568065,-0.05276963376544794,0.6475555159982721,3885
Llama 3.3 70B,0.818971835854041,0.26857018607755734,-0.13749958537442,-0.025277805867073542,-0.037820916170347246,0.4060697714519773,3460
Mistral Small 3.1,0.3329582354482094,0.15882063026001614,-0.2266249429898879,0.2960556824090648,0.36582093512343017,0.385445573249904,3892
Llama 3.1 8B,0.7286956075553993,0.3121714760360016,-0.07109618532057933,-0.2813267668611758,0.025372598517631306,0.3832676613565809,3892
Llama 3.1 8B (Cerebras),0.7371829027211156,0.3153786409133378,-0.06471970117058388,-0.28851661983053106,-0.02583600004871192,0.3800983420839217,3892
Qwen 3 32B,,-3.821729257844289e-16,-2.275159298923832e-16,-2.942009019464595e-16,-1.677145420178428e-16,-1.5465699589204572e-16,3853
Mistral 7B,-0.26445816067024436,-0.1194713903210244,0.0113497719492623,0.19027814691855022,-0.11394004710193285,-0.1308211622702867,3855
