model,mean_gap,std_gap,p_value,significant,pct_black_scored_higher,n_pairs
Mistral 7B,0.168,1.0246344477436848,0.00027250939505677423,True,32.0,500
Llama 4 Scout,0.154,0.6893725182641645,8.142631492487727e-07,True,33.6,500
Llama 3.1 8B,0.14,1.619148938971689,0.05374975362296821,False,2.4,500
Llama 3.1 8B (Cerebras),0.09,1.59843987063639,0.20861324261126643,False,0.8,500
Llama 3.3 70B,0.032,0.5324876394549874,0.17963295310622274,False,6.4,500
Qwen 3 32B,0.0,0.0,,False,0.0,500
Mistral Small 3.1,-0.234,0.9783446819159731,1.355074958619918e-07,True,0.0,500
