vacancy_band,dominant_race,high_risk_rate,disparate_impact_ratio
high_vacancy,Asian,0.2437357630979499,0.40173434670872027
high_vacancy,Black,0.6067087992221682,1.0
high_vacancy,Hispanic,0.3480691056910569,0.5737004410308526
high_vacancy,White,0.27552091140758506,0.454123809908175
low_vacancy,Asian,0.1514907332796132,0.634951900597885
low_vacancy,Black,0.23858615611192932,1.0
low_vacancy,Hispanic,0.15870570107858242,0.6651924137799843
low_vacancy,White,0.10324212462635088,0.432724707538841
