model,race_a,race_b,mean_score_a,mean_score_b,raw_gap,cohens_d,t_statistic,p_value,significant,n_a,n_b,param_billions,origin,size_bias_pearson_r,size_bias_p_value
Qwen 3 235B (Cerebras),Black,White,6.252651880424301,4.089422585590189,2.163229294834112,2.017589302785903,51.84224204241362,0.0,True,1037,1957,235,Chinese,0.4879753916400352,0.2199162226787575
Llama 4 Scout,Black,White,6.228744939271255,4.349680170575693,1.879064768695562,1.68563821332518,47.2693909677399,0.0,True,988,1876,17,US,0.4879753916400352,0.2199162226787575
Llama 3.3 70B,Black,White,6.6703967446592065,4.542066629023151,2.1283301156360555,1.4285511897273062,35.608431103478026,9.536186061376732e-229,True,983,1771,70,US,0.4879753916400352,0.2199162226787575
Llama 3.1 8B (Cerebras),Black,White,6.594230769230769,5.19234693877551,1.401883830455259,1.3777651628510583,37.871499834905954,7.74416423968259e-257,True,1040,1960,8,US,0.4879753916400352,0.2199162226787575
Llama 3.1 8B,Black,White,6.523076923076923,5.160714285714286,1.3623626373626374,1.3490903614415641,37.75900152024587,1.3827551609362454e-255,True,1040,1960,8,US,0.4879753916400352,0.2199162226787575
Mistral Small 3.1,Black,White,6.990384615384615,6.207142857142857,0.7832417582417577,0.9415188251750382,21.538365451042445,8.64821559727515e-96,True,1040,1960,24,EU,0.4879753916400352,0.2199162226787575
Qwen 3 32B,Black,White,1.0,1.0,0.0,0.0,,,False,1040,1948,32,Chinese,0.4879753916400352,0.2199162226787575
Mistral 7B,Black,White,4.667307692307692,5.123902942694889,-0.4565952503871973,-0.4772203685964619,-12.378239755750808,2.3677969549704277e-34,True,1040,1937,7,EU,0.4879753916400352,0.2199162226787575
